Date, Open, High, Low, Close, Volume
11/27/20, 6500.00, 6549.99, 6500.00, 6530.00, 2200
11/26/20, 6650.00, 6650.00, 6500.00, 6500.67, 80
11/25/20, 6500.00, 6505.00, 6500.00, 6503.00, 100
11/24/20, 6515.00, 6515.00, 6500.00, 6500.00, 180
11/23/20, 6400.00, 6550.00, 6400.00, 6550.00, 440
11/20/20, 6505.00, 6505.00, 6500.00, 6500.00, 700
11/19/20, 6450.00, 6550.00, 6450.00, 6522.25, 360
11/18/20, 6400.01, 6469.99, 6400.00, 6469.99, 120
11/17/20, 6489.00, 6489.00, 6489.00, 6489.00, 20
11/16/20, 6400.00, 6415.00, 6400.00, 6400.01, 140
11/13/20, 6337.12, 6400.00, 6337.12, 6400.00, 480
11/12/20, 6329.89, 6335.12, 6329.89, 6330.00, 240
11/11/20, 6300.01, 6333.12, 6300.01, 6333.12, 100
11/10/20, 6220.30, 6349.99, 6220.00, 6300.00, 480
11/09/20, 6300.00, 6319.99, 6200.00, 6233.81, 1200
11/06/20, 6300.00, 6348.89, 6285.12, 6299.99, 420
11/05/20, 6250.00, 6350.00, 6250.00, 6350.00, 820
11/04/20, 6350.05, 6498.97, 6251.00, 6261.31, 5620
11/03/20, 6350.00, 6400.00, 6300.00, 6338.87, 1720
11/02/20, 6250.01, 6350.99, 6250.01, 6300.00, 660
10/29/20, 6450.00, 6450.00, 6350.00, 6399.80, 820
10/28/20, 6549.99, 6550.00, 6453.81, 6463.81, 860
10/27/20, 6450.00, 6450.00, 6410.00, 6440.00, 280
10/26/20, 6500.00, 6525.00, 6400.01, 6425.31, 120
10/23/20, 6500.00, 6610.00, 6500.00, 6500.00, 300
10/22/20, 6450.00, 6450.00, 6400.00, 6450.00, 400
10/21/20, 6450.00, 6500.00, 6401.00, 6450.00, 300
10/20/20, 6400.00, 6400.00, 6400.00, 6400.00, 140
10/16/20, 6500.00, 6500.00, 6425.00, 6425.00, 180
10/15/20, 6599.00, 6600.00, 6599.00, 6600.00, 60
10/14/20, 6400.00, 6400.00, 6400.00, 6400.00, 200
10/13/20, 6250.00, 6415.50, 6250.00, 6400.00, 160
10/12/20, 6599.99, 6600.00, 6482.00, 6497.75, 220
10/09/20, 6600.00, 6600.00, 6500.01, 6510.00, 160
10/08/20, 6600.00, 6600.00, 6600.00, 6600.00, 320
10/06/20, 6410.00, 6535.00, 6410.00, 6517.50, 80
10/05/20, 6899.00, 6899.00, 6600.00, 6600.00, 160
